Date	Netherlands	Greece
12/29/1992	337.53	272.023
12/30/1992	336.568	276.919
12/31/1992	336.568	275.799
1/1/1993	336.568	275.799
1/4/1993	338.329	276.053
1/5/1993	340.75	274.58
1/6/1993	341.719	274.58
1/7/1993	342.065	274.536
1/8/1993	340.056	279.575
1/11/1993	337.892	289.906
1/12/1993	337.786	285.636
1/13/1993	336.443	283.998
1/14/1993	336.977	286.245
1/15/1993	338.047	289.345
1/18/1993	339.167	287.047
1/19/1993	338.481	293.443
1/20/1993	338.918	298.025
1/21/1993	340.074	297.325
1/22/1993	338.754	300.761
1/25/1993	337.574	303.36
1/26/1993	338.69	306.851
1/27/1993	338.691	300.239
1/28/1993	339.201	303.556
1/29/1993	341.796	304.361
2/1/1993	344.969	304.398
2/2/1993	344.472	313.301
2/3/1993	347.406	318.382
2/4/1993	349.716	320.602
2/5/1993	351.831	325.835
2/8/1993	354.831	338.219
2/9/1993	354.617	358.918
2/10/1993	353.021	346.782
2/11/1993	355.156	347.161
2/12/1993	353.912	331.905
2/15/1993	353.604	319.436
2/16/1993	350.388	317.321
2/17/1993	350.068	330.122
2/18/1993	353.956	330.015
2/19/1993	355.874	328.893
2/22/1993	357.263	326.199
2/23/1993	357.917	328.792
2/24/1993	356.364	331.385
2/25/1993	357.271	332.045
2/26/1993	359.125	339.89
3/1/1993	361.809	339.89
3/2/1993	361.605	343.321
3/3/1993	363.702	342.446
3/4/1993	364.27	340.171
3/5/1993	367.988	336.861
3/8/1993	368.928	329.903
3/9/1993	372.132	334.702
3/10/1993	373.366	337.591
3/11/1993	373.242	333.933
3/12/1993	367.731	330.303
3/15/1993	369.854	326.724
3/16/1993	371.003	324.922
3/17/1993	372.925	320.92
3/18/1993	373.678	321.144
3/19/1993	373.91	322.876
3/22/1993	370.498	319.262
3/23/1993	369.624	316.328
3/24/1993	367.911	314.487
3/25/1993	368.374	314.487
3/26/1993	370.049	321.933
3/29/1993	369.431	322.89
3/30/1993	372.602	318.531
3/31/1993	373.541	317.523
4/1/1993	371.878	322.679
4/2/1993	372.202	322.352
4/5/1993	370.956	317.836
4/6/1993	373.89	317.958
4/7/1993	372.821	319.498
4/8/1993	373.125	317.834
4/9/1993	373.125	315.232
4/12/1993	373.125	309.449
